Unnamed: 0,Name,Adm.,Population Census (C) 2001-10-09,Population Census (C) 2011-10-09,Area,Unnamed: 6
,Alice,EC,...,15142,985,→
,Aliwal North (- Dukathole),EC,28465,35153,3954,→
,Allanridge (- Phathakahle),FS,19671,19337,3174,→
,Amandelbult Mine (- Setaria),LIM,23363,21356,13463,→
,Atlantis,WC,56225,69055,8800,→
,Balfour (- Siyathemba),MP,20091,25969,1598,→
,Ballito (- Umhlali - Sheffield Beach),KZN,...,23135,3705,→
,Barberton (- Emjindini),MP,34037,48505,3569,→
,Barkly West (- Mataleng),NC,14071,20105,7306,→
,Beaufort West (- Sidesaviwa),WC,30678,34085,5650,→
,Bela-Bela [Warmbad],LIM,32147,44999,2328,→
,Belfast (- Siyathuthuka) [eMakhazeni],MP,...,16723,8334,→
,Bethal (- Emzinoni),MP,35929,60780,5194,→
,Bethlehem (- Bohlokong),FS,66600,76015,3232,→
,Bisho [Bhisho],EC,King William's Town,King William's Town,0,
,Bloemfontein (- Mangaung),FS,364348,464591,26878,→
,Bloemhof (- Boitumelong),NW,22033,27904,5092,→
,Bothaville (- Kgotsong),FS,49201,46029,4301,→
,Botshabelo,FS,175233,181712,10398,→
,Bredasdorp,WC,12752,15524,2515,→
,Brits (- Oukasie - Mothutlung),NW,44991,65113,11974,→
,Bronkhorstspruit (- Zithobeni),GT,23213,34395,1424,→
,Bultfontein (- Phahameng),FS,21097,23365,4398,→
,Burgersdorp (- Mzamomhle),EC,13537,15991,3092,→
,Butterworth,EC,45903,44308,2148,→
,"Cape Town (incl. Mitchell's Plain, Khayelitsha, Bellville)",WC,2678407,3430992,113679,→
,Carletonville (- Khutsong - Wedela),GT,163238,149065,26597,→
,Carolina (- Silobela),MP,12115,16847,1466,→
,Ceres (- Bella Vista),WC,21039,23873,8002,→
,Christiana (- Utlwanang - Geluksoord),NW,16574,20882,5387,→
,Clocolan (- Hlohlolwane),FS,16653,17602,1897,→
,Clydesdale (- Umzimkhulu),KZN,10277,15322,1253,→
,Colesberg (- Kuyasa - Lowryville),NC,12761,16870,17484,→
,Coligny (- Tlhabologang),NW,12855,17278,632,→
,Cradock (- Lingelihle),EC,31278,36671,12596,→
,Cullinan (- Refilwe),GT,21073,28451,5824,→
,Daggakraal [Vlakpoort],MP,...,13182,1733,→
,De Aar (- Nonzwakazi),NC,26012,29989,8550,→
,Delmas (- Botleng),MP,34319,52125,2743,→
,Deneysville (- Refengkgotso),FS,15421,19478,4591,→
,Dimbaza,EC,24943,21784,1728,→
,Douglas (- Breipaas - Phelindaba),NC,15485,20082,8642,→
,Dundee (- Sibongile),KZN,28053,34924,4860,→
,"Durban (incl. Umlazi, Chatsworth, Kwa-Mashu, Pinetown)",KZN,2487162,2786046,89732,→
,Dwarsloop (- Shatale),MP,...,29544,2731,→
,East London,EC,232701,295644,17191,→
,Ekangala,GT,34997,48492,4605,→
,Elliot (- Masibambane - Takalani - Vergenoeg - Polar Park),EC,15084,14376,2885,→
,Elukwatuni,MP,23070,31184,3442,→
,Embalenhle,MP,92851,118889,1965,→
,eMkhondo (- Ethandakukhanya) [Piet Retief],MP,37919,57428,6600,→
,Empangeni,KZN,13317,27606,1494,→
,Ermelo (- Wesselton),MP,51237,83735,3141,→
,Estcourt (- Emabhanoyini),KZN,16943,22072,6074,→
,Evaton (- Sebokeng - Orange Farm),GT,550903,605504,12850,→
,Ficksburg (- Meqheleng),FS,35452,41248,5818,→
,Fochville (- Kokosi),GT,34397,38491,1635,→
,Folweni,KZN,28756,30402,340,→
,Fort Beaufort (- Kwatinidubu),EC,22190,25668,8281,→
,Frankfort (- Namahadi),FS,19460,26144,2095,→
,Frischgewaagd,KZN,14191,13515,718,→
,George (- Thembalethu),WC,121289,157397,8385,→
,Glencoe (- Sithembile),KZN,14078,17548,2658,→
,Gonubie (- Mzamonhle),EC,15165,19809,1260,→
,Graaff-Reinet (- uMasizakhe),EC,32460,35672,20361,→
,Grabouw (- Snake Park - Elgin),WC,21582,31291,729,→
,Grahamstown (- Rhini),EC,61753,67264,6505,→
,Greytown (- Lindelani - eMahlalakahle),KZN,15811,19313,785,→
,Groot Brakrivier (- Terniet - Glentana),WC,10036,15031,3126,→
,Hammanskraal (- Temba - Kudube),GT,76827,94273,3627,→
,Harrismith (- Intabazwe),FS,26090,27869,13880,→
,Hartbeestfontein (- Tigane),NW,13377,18608,930,→
,Hartbeestfontein A,NW,23956,26337,974,→
,Hartebeespoort (- Kosmos Ridge),NW,...,22312,10559,→
,Heidelberg (- Ratanda),GT,47554,71661,4676,→
,Heilbron (- Sandersville - Phiritona),FS,25515,27407,1772,→
,Hendrina (- KwaZamokuhle),MP,13738,22786,1007,→
,Hermanus (- Zwelihle - Sandbaai - Onrus River - Hawston - Fisherhaven),WC,30117,46856,4257,→
,Hoopstad (- Tikwana),FS,11694,16033,3021,→
,Howick (- KwaMevana),KZN,16868,27087,9735,→
,Humansdorp (- Kruisfontein - KwaNomzamo),EC,21894,28990,3453,→
,Itsoseng,NW,...,19959,709,→
,Jan Kempdorp (- Valspan),NC,16238,23003,1559,→
,Jeffreys Bay (- Paradise Beach),EC,16177,27107,2079,→
,Johannesburg (Witwatersrand),GT,5914919,7860781,335692,→
,Kamaqhekeza,MP,...,21192,883,→
,Kimberley (- Galeshewe),NC,185269,225155,16429,→
,King William's Town (- Bisho - Zwelitsha),EC,63774,77682,8615,→
,Kinross,MP,...,15246,645,→
,Klerksdorp (- Jouberton),NW,163493,189496,8617,→
,Knysna,WC,37833,50029,6340,→
,Kokstad (- Bhongweni),KZN,27308,51540,3607,→
,Koster (- Reagile),NW,10573,19498,2112,→
,Kriel [Ga-Nala],MP,11479,15237,855,→
,Kroonstad (- Maokeng),FS,90345,97780,8911,→
,Kwaggafontein,MP,46669,45104,1784,→
,Ladybrand (- Manyatseng),FS,21382,25816,4604,→
,Ladysmith (- Ezakheni),KZN,102366,119726,11345,→
,Lebowakgomo,LIM,...,35089,2568,→
,Lephalale [Ellisras],LIM,...,17639,2377,→
,Leslie (- Lebohang),MP,20163,32980,937,→
,Letlhabile,NW,35612,41497,3404,→
,Lichtenburg (- Boikhutso),NW,28833,45449,11136,→
,Louis Trichardt (- Tshikota - Eltivillas),LIM,15113,25359,5642,→
,Lydenburg (- Mashishing),MP,23040,41403,6257,→
,Mahikeng (- Mmabatho) [Mafikeng],NW,51802,64359,5201,→
,Malmesbury (- Wesbank - Ilinge Lethu),WC,22958,35897,1880,→
,Mandini (- Sundumbili),KZN,25379,31327,2271,→
,Mankweng,LIM,22607,41298,1463,→
,Marapong,LIM,...,26228,4717,→
,Margate (- Shelly Beach - Ramsgate Beach),KZN,16731,26786,2921,→
,Marikana [Rooikoppies],NW,...,19522,1754,→
,Marquard (- Moemaneng),FS,13079,15502,988,→
,Mdantsane (- Potsdam),EC,181679,171522,5942,→
,Middelburg (- KwaNonzame - Midros),EC,13784,18680,4476,→
,Middelburg (- Mhluzi),MP,88332,163809,12768,→
,Mkhuhlu,MP,20548,35864,2155,→
,Modimolle (- Phagameng),LIM,33816,41988,8333,→
,Mokopane (- Mahwelereng) [Potgietersrus],LIM,52176,75516,8828,→
,Moloto,MP,13462,18426,813,→
,Mondlo,KZN,38084,44981,2669,→
,Montagu (- Ashbury),WC,10264,15176,3271,→
,Mooi Rivier (- Bruntville),KZN,13408,18137,1511,→
,Mookgophong [Naboomspruit],LIM,...,24854,2718,→
,Mossel Bay (- Kwanonqaba - Hartenbos - Dana Bay),WC,51490,65887,8446,→
,Mpophomeni,KZN,20861,25732,458,→
,Mpumalanga,KZN,63699,62406,2166,→
,Mthatha [Umtata],EC,98219,137589,7384,→
,Mtubatuba (- KwaMsane),KZN,...,27695,1921,→
,Musina (- Nancefield),LIM,19009,42677,10938,→
,Ncotshane,KZN,14327,16328,425,→
,Ndevana (- Izeleni),EC,...,15150,917,→
,Nelspruit (Mbombela) [Mbombela],MP,27177,58670,7263,→
,Newcastle (- Madadeni - Osizweni),KZN,279983,291484,14287,→
,Nigel,GT,28338,30276,13264,→
,Nkowankowa,LIM,19402,42859,2576,→
,Odendaalsrus (- Kutlwanong),FS,68163,63743,4211,→
,Orkney (- Kanana),NW,81224,91854,3068,→
,Ottosdal (- Letsopa),NW,13034,18372,773,→
,Oudtshoorn (- Bongelethu),WC,55205,61508,3764,→
,Paarl (- Wellington),WC,145564,197735,9788,→
,Parys (- Tumahole),FS,43754,48169,3287,→
,Phalaborwa,LIM,12938,13108,19333,→
,Phola,MP,22876,31885,635,→
,Phomolong,FS,18143,20562,384,→
,Phuthaditjhaba,FS,51677,56251,2458,→
,"Pietermaritzburg (incl. Edendale, Imbali, Mkondeni)",KZN,413900,475238,25390,→
,Plettenberg Bay (- Kwanokuthula),WC,18567,31822,4650,→
,Polokwane (- Seshego) [Pietersburg],LIM,133346,227407,14705,→
,Port Alfred (- Nkwenkwezi),EC,20965,25858,4658,→
,"Port Elizabeth (incl. Ibhayi, Bethelsdorp, Motherwell)",EC,778141,876436,34078,→
,Port Shepstone (- Oslo Beach - Sea Park - Pumula),KZN,24571,37089,4106,→
,Postmasburg (- Boitshoko),NC,21139,30089,15841,→
,Potchefstroom (- Ikageng),NW,118070,148804,18420,→
,Praktiseer,LIM,...,22264,1236,→
,"Pretoria (incl. Mamelodi, Atteridgeville, Centurion, Akasia)",GT,1161857,1763336,145849,→
,Queenstown (- Mlungisi - Ezibeleni),EC,84092,98988,10340,→
,Redhill (- Dundonald - Glenmore - Swalluwsnest),MP,21394,19325,1974,→
,Reitz (- Petsana),FS,17449,20183,2570,→
,Richards Bay,KZN,39122,50533,11156,→
,Ritchie (- Motswedimosa),NC,11216,14850,2479,→
,Riversdale,WC,12793,16177,10045,→
,Robertson (- Nkqubela),WC,21595,27714,2345,→
,Rustenburg (- Tlhabane - Meriting),NW,174877,311901,114445,→
,Sabie (- Simile),MP,...,15778,5537,→
,Saldanha (- Diazville),WC,21640,28142,1754,→
,Sasolburg (- Zamdela),FS,81671,113368,8519,→
,Schweizer-Reneke (- Ipelegeng),NW,32651,41227,2275,→
,Senekal (- Matwabeng),FS,22540,25543,3709,→
,Shakaskraal (- Nkobongo),KZN,...,22824,412,→
,Siyabuswa,MP,32965,36882,1488,→
,Somerset East (- KwaNojoli),EC,16569,18824,7276,→
,Somerset West (- Strand - Nomzano),WC,123948,188035,10042,→
,Soshanguve (- Mabopane - Ga-Rankuwa - Winterveldt),GT,600767,728063,33843,→
,Standerton (- Sakhile),MP,63107,84383,4596,→
,Stanger (- KwaDukuza),KZN,94317,134525,8273,→
,Stellenbosch (- Khayamandi),WC,59145,80316,2310,→
,Stilfontein (- Khuma),NW,66780,63836,14828,→
,Stutterheim (- Cumakala),EC,22589,24672,12142,→
,Swellendam (- Railton),WC,13556,17522,3064,→
,Tekwane (- Entokozweni),MP,...,14895,1003,→
,Thaba Nchu,FS,64602,60696,3100,→
,Thabazimbi,LIM,13231,28846,16089,→
,Theunissen (- Masilo),FS,22477,23513,1385,→
,Thohoyandou,LIM,91455,89427,5612,→
,Tongaat (- Hambanathi),KZN,48683,54109,4123,→
,Trichardt (- Secunda),MP,28120,44049,19901,→
,Tshiame,FS,12962,14857,2605,→
,Tshitereke (- Vondwe),LIM,...,15935,1758,→
,Tweefontein (- Somaroboro),MP,82132,95457,4450,→
,Uitenhage (- Kwanobuhle - Despatch),EC,193271,242924,11198,→
,Ulundi,KZN,23649,26538,2589,→
,Umzinto,KZN,14714,16205,1249,→
,Upington (- Paballelo),NC,54596,67581,57367,→
,Vaalbank (- Allemansdrift),MP,15106,16290,586,→
,Vaalwater (- Leseding),LIM,...,16462,1256,→
,Ventersdorp (- Tshing),NW,16740,22073,5747,→
,Vereeniging (- Vanderbijlpark - Sharpeville - Meyerton),GT,307275,377922,60188,→
,Verena,MP,15167,17738,825,→
,Viljoenskroon (- Rammulotsi),FS,27089,31468,1788,→
,Villiers (- Qalabotjha),FS,18232,17315,931,→
,Virginia (- Meloding),FS,69789,66208,8209,→
,Volksrust (- Vukuzakhe),MP,20462,24281,2543,→
,Vrede (- Thembalihle),FS,17421,17689,5012,→
,Vredenburg (- Louwville - Ongegund),WC,27082,38382,1375,→
,Vredendal,WC,14279,18170,2308,→
,Vryburg (- Huhudi),NW,36177,46639,6976,→
,Vryheid (- Bhekuzulu),KZN,35355,47365,4871,→
,Warrenton (- Ikhutseng),NC,13096,22588,3171,→
,Welkom (- Thabong),FS,194870,211014,21270,→
,Wembesi,KZN,23240,28252,1317,→
,Wesselsbron (- Monyakeng),FS,27117,26808,1406,→
,Westonaria (- Simunye - Libanon Gold Mine),GT,...,31733,3317,→
,White River,MP,...,21373,7108,→
,Whittlesea (- Sada - Ekuphumleni),EC,31144,28248,1994,→
,Witbank (- KwaGuqa),MP,199468,311657,72110,→
,Wolmaransstad (- Tswelelang),NW,22708,33492,4819,→
,Worcester (- Zweletemba),WC,81483,97075,7315,→
,Zastron (- Matlakeng),FS,10502,15607,2270,→
,Zeerust (- Ikageleng),NW,12955,15987,5881,→
