,0,1,2,3,4,5,6,7,8,9
0,,Name,Abbr.,Capital,Area A (kmÂ²),Population Census (Cf) 1993-08-01,Population Census (Cf) 2018-06-01,Population Projection (P) 2020-06-01,,
1,,Madagascar,MDG,Antananarivo,"587,041","12,238,914","25,674,196","27,190,927",,
2,,Alaotra-Mangoro,ALM,Ambatondrazaka,"31,948","613,411","1,249,931","1,316,136",3194800,
3,,Amoron'i Mania,AMM,Ambositra,"16,141","473,801","837,116","889,497",1614100,
4,,Analamanga,AMG,Antananarivo,"16,911","1,758,925","3,623,925","3,812,126",1691100,
5,,Analanjirofo,AJF,Fenoarivo Atsinanana,"21,930","601,566","1,150,089","1,211,380",2193000,
6,,Androy,ADR,Ambovombe,"19,317","347,520","900,235","966,708",1931700,
7,,Anosy,ASY,Taolanaro,"25,731","396,959","809,051","858,988",2573100,
8,,Atsimo-Andrefana,AAF,Toliara,"66,236","743,007","1,797,894","1,892,024",6623600,
9,,Atsimo-Atsinanana,AAN,Farafangana,"18,863","424,765","1,030,404","1,095,667",1886300,
10,,Atsinanana,ATS,Toamasina,"21,934","780,484","1,478,472","1,562,330",2193400,
11,,Betsiboka,BET,Maevatanana,"30,025","170,175","393,278","417,610",3002500,
12,,Boeny,BOE,Mahajanga,"31,046","391,066","929,312","978,350",3104600,
13,,Bongolava,BON,Tsiroanomandidy,"16,688","235,090","670,993","712,681",1668800,
14,,Diana,DIA,Antsiranana,"19,266","359,227","889,962","939,281",1926600,
15,,Haute Matsiatra ( Matsiatra Ambony ),HMA,Fianarantsoa,"21,080","771,714","1,444,587","1,522,112",2108000,
16,,Ihorombe,IHO,Ihosy,"26,391","129,443","417,312","443,172",2639100,
17,,Itasy,ITA,Miarinarivo,"6,993","462,794","898,549","954,196",699300,
18,,Melaky,MEL,Maintirano,"38,852","126,355","308,944","330,367",3885200,
19,,Menabe,MEN,Morondava,"46,121","285,125","692,463","727,367",4612100,
20,,Sava,SAV,Sambava,"25,518","595,506","1,123,772","1,204,282",2551800,
21,,Sofia,SOF,Antsohihy,"50,100","677,197","1,507,591","1,610,222",5010000,
22,,Vakinankaratra,VAK,Antsirabe,"16,599","1,144,318","2,079,659","2,211,677",1659900,
23,,Vatovavy-Fitovinany,VVF,Manakara,"19,605","750,468","1,440,657","1,534,754",1960500,
